	PANC0203_PANCREAS	NIHOVCAR3_OVARY	RT112_URINARY_TRACT	NCIN87_STOMACH	PC14_LUNG	HCC1143_BREAST	639V_URINARY_TRACT	KMRC3_KIDNEY	ONCODG1_OVARY
8-BROMO-CAMP	-0.11974753037	0.752814355804	-0.209021060079	0.0133530289232	0.241045914138	-0.274140818733	0.384365095371	-0.402410473689	0.546490339472
CYCLOPHOSPHAMIDE	0.314451382598	0.204416622929	0.877024199961	0.448281828977	0.396709107781	0.648744602494	0.238926369808	0.406705599931	0.252122761445
BOCEPREVIR	-0.459784800037	-0.209476803595	-0.145355304033	0.471297263282	-0.469237173781	-0.0559744881902	-0.0541629542863	0.20634317295	0.175764651362
SKF-81297	0.00509748369256	-0.370292464322	-1.10218722653	-0.0401067885258	0.212403787178	-0.581275351433	-0.204285357865	-0.0134928363337	0.20487973289
ETILEFRINE	-0.232576394567	-0.238078531378	0.395185519589	-1.49041350902	-0.195981328724	0.414870160731	0.113882317971	-0.062607669846	0.210006548566
TIPRANAVIR		-0.261563890013	0.247301521725	-0.380101021163	0.314957758704	-0.42911356247		-0.598822956581	0.0295039591158
PROPRANOLOL	-0.487219062616	0.575508222927	0.00723528569008	0.797785236545	0.360728581441	-0.621040493458	0.176169614624	-0.189420249596	0.323199687537
ADENOSINE-PHOSPHATE	-0.0232293666346	0.110807349529	0.224949485938	1.13549863704	-0.11593897549	-0.00780357017349	-0.115752146422	0.128220944771	0.421223016207
CYCLOPIAZONIC-ACID	1.00059765664	-0.26649809382	-0.461329899409	0.041014103751	0.188313408506	0.508549721232	-0.0229197672611	0.0680993965886	0.821657019541
GSK429286A	0.25831452605	-0.225940293023	0.703218646052	0.00345152137642	-0.19204956654	0.00960878304723	-0.648028214687	-0.622759797122	0.346519200688
FOSFOMYCIN	-0.011187983716	-0.358280511898	-0.0356486896441	0.38523321587	-0.152315886244	0.527822249548	0.389178329987		-0.107045793564
PRENYLAMINE	0.507491124984	0.209008932325	0.249793694925	0.0829424006648	-0.284978268893	-0.123026804876	-0.044658517205	0.359449418392	0.10850761107
EFAROXAN	0.0339259262446	0.0760759197408	-0.908165044324	0.0778910519589	-0.414056610377	0.0786454566878	-0.0607044944018	0.214668493233	0.122572333121
IMILOXAN	-0.17450834854	-0.250482108461	0.493114674793	0.19654056784	-0.125242836407	-0.106370362882	-0.390390130756	-0.187409872483	0.150671831783
GRANISETRON	-0.361084079848	-0.356339183248	0.360918353728	-0.876207850007	-0.287898809372	-0.502820426873	-0.349667545742	-0.154679359032	-0.0465489584488
CARVEDILOL	-0.266669509386	-0.242784063732	0.231176845638	0.41552474618	-0.273334996267	0.139872921048	0.0332182048705	-0.315318152841	0.291942103871
CARBAZOCHROME	-0.271466275323	0.275343664441	-0.0184770759691	0.599258956019	0.0595662275295	0.580662125176	-0.0955989185409	-0.261835697585	-0.0147881414744
NADIDE	-0.148872715471	0.317988708627	0.579666425053	-0.581201570181	-0.05405806089	-0.602050038915	-0.180188512281	0.0698103167321	0.309303227522
DEHYDROCHOLATE-ACID	-0.162932127485	-0.118323859408	-0.50909525687	-0.547197206834	-0.313340362794	-0.34662740935	-0.0439915774662	0.173337254714	-0.555460224229
MEPARFYLON	0.0439759448889	-0.248644567674	0.222099900883	0.114267159535	-0.124416499373	-0.0290657466738	0.568093083865		-0.502632277503
BAY-85-8050	0.0288001548145	-0.184818630858	0.43336852099		0.0840755410003	0.355604009377	0.299906764372	-0.306424490744	0.216541560732
ENILCONAZOLE	0.152096678379	-0.188315114707	0.472909532323	0.439368190638	-0.00849609482026	-0.00366460681152	-0.0144177352099	0.132769914187	0.306876071733
AM-92016	-0.982182893365	-0.251435666678	-1.11836875007	0.870991350817	-0.425087797951	-0.632215212812	-0.0708475984664	-0.692988285386	-0.663167462475
PROSCILLARIDIN-A	-4.47565836251	-1.92467437762	-3.87913574998	-2.13728068742	-4.68937801939	-3.86925293542	-5.06949036667	-4.93929137251	-2.27387883393
LORAZEPAM	-1.16675474523	0.688255510218	-1.82687975895	-1.28878912972	-2.10922853496	-1.477983476	-1.00399532838	-1.640176986	-0.801455890203
CEFEPIME	-0.883299012137	0.43877361678	-0.183235828316	-0.656350395024	-0.667570086919	0.344146192573	-0.80230269835	-0.328559710388	0.71574763723
NUTLIN-3	-0.317271965191	-0.109252546225	0.50741950771	0.0148816719909	0.189571555064	-0.228992049325	0.0334125452606	-0.125532221675	-0.216569478026
L-CITRULLINE	0.230262422789	-0.367254289094	-0.661516024582	-0.125720569392	-0.401881596395	-0.135941160981	-0.420776208881	-0.586938978409	0.0823986173042
USNIACIN-(+)	-0.269059633906	0.582975595101	0.20584474865	1.35607747065	-0.416267513851	-0.104589517136	-0.305104106444		0.405965274519
L-HYDROXYPROLINE	0.192784010073	0.0933160964871	-0.26797488652	-0.400864618478	-0.166659983599	0.137072389258	1.0940451473		0.0187350478881
CISAPRIDE	-1.22188003167	0.395207221627	-0.363076167613	-0.481881063102	-1.01081004148	-1.29734884068	-1.30740667058	-1.02451693963	-0.214272117004
POMALIDOMIDE	-0.211846216029	0.497854926577	-0.343979132345	-0.250438695327	-0.150529608409	0.2408302087	-0.0350398238363	-0.395520665323	0.475461973898
TROGLITAZONE	-0.497693108059	0.747786761716	0.0059545225546		-1.03406896658	-0.372941415987	-0.267009431889	-0.700991490928	-0.0940589733377
FLUOROMETHOLONE	0.286335782493	-0.287544975175	-0.218425894747		-0.242420774323	-1.11279112189	0.108968169606	-1.42833555364	0.315239520312
DOXAZOSIN	0.298468226243	0.456888280616	-0.538594594929	1.04415544098	0.108930845263	-0.247153429399	0.31555239958	-0.130374766191	0.948272655159
PERILLYL-ALCOHOL	-0.434101932402	0.25354707256	0.317842613043	-0.270235359968	-0.0869065314416	-0.759383868705	-0.652366986305	0.0953633833822	-0.0284340460076
ORNITHINE	-0.845584924359	-0.67978318896	-0.953010775877	-0.195168772916	0.0143971972867	0.446518638761	-0.378533148996		0.314150553739
5'-CHLORO-5'-DEOXY-ENBA-(+/-)	0.30099042887	0.58670774561	0.154980220239	1.19467224684	-0.026409139205	0.0833498490164	0.106794866541	-0.182728502025	0.585420870075
SULINDAC	0.122107521358	-0.359183189825	-0.223266537069	0.342836044386	0.337705932295	0.331052768222	0.519414859596	-0.11088545038	0.290522947445
TC1	-0.642610086208	0.104453097682	-0.0628342026818	0.0285876773314	-0.449233941406	-0.760511914868	0.235860125264	-0.505929563265	-0.0589812445493
OXYPHENONIUM	-0.0395311354833	-0.326123754214	-0.138141905345	-0.263009296751	-0.0520098748711	0.517522015817	-0.318500643693	0.207233383894	-0.210347607127
OCTOPAMINE	-1.06062625262	0.650443664686	-1.14629033474	0.465779306529	-0.641764549245	-0.739592158687	0.175239683012	-0.419390070608	-0.161218537583
