	NCIH1793_LUNG	MDAMB468_BREAST	SNU601_STOMACH	FTC133_THYROID	SKMEL30_SKIN	SUIT2_PANCREAS	PANC1_PANCREAS	NCIH1975_LUNG	FTC238_THYROID	OC314_OVARY
ZMYND10	0.8700000000000001	1.31	0.6800000000000002	7.210000000000001	0.6600000000000001	0.51	1.44	2.37	0.6699999999999999	0.51
ABCB5	0.03	0.02	0.01	0.04	11.37	0.0	0.0	0.0	0.01	0.04
ARX	0.81	0.1299999999999999	0.01	0.01	0.03	0.0	0.01	0.03	0.01	0.02
SLC25A13	22.510000000000005	19.870000000000005	31.68	42.81	56.16	11.050000000000008	35.2	42.71000000000001	50.989999999999995	30.61999999999999
ST7	15.579999999999997	20.549999999999994	24.38000000000001	28.35000000000001	20.120000000000005	12.380000000000006	14.29	21.06	21.22000000000001	13.6
CDC27	32.029999999999994	27.930000000000003	30.10000000000001	34.130000000000024	49.96	45.2	44.5	50.919999999999995	69.12999999999998	35.910000000000004
SLC4A1	0.0	0.1	0.0	0.01	0.0	0.0	0.0	0.02	0.02	0.02
CALCR	0.0	0.0	0.05	0.01	0.03	0.0	0.01	0.69	0.01	0.02
HCCS	35.97000000000003	40.61999999999999	28.85000000000001	54.25000000000001	33.410000000000004	39.41000000000001	30.160000000000004	33.599999999999994	56.68999999999999	25.63
DVL2	34.099999999999994	16.060000000000002	36.05	42.170000000000016	53.22999999999999	24.070000000000004	30.879999999999995	41.35000000000001	30.530000000000005	29.869999999999997
PRSS22	9.38	24.180000000000007	29.039999999999996	0.1699999999999999	0.06	0.4499999999999999	13.259999999999998	19.450000000000003	0.2299999999999999	0.32
UPF1	30.330000000000005	80.73999999999997	42.09	52.63	28.57	29.980000000000015	32.120000000000005	31.930000000000017	49.68000000000001	22.6
SKAP2	45.320000000000014	22.489999999999995	0.1299999999999999	38.610000000000014	11.819999999999997	27.489999999999988	27.82999999999999	50.870000000000005	22.549999999999994	25.710000000000004
SLC25A5	564.6400000000002	1085.2999999999995	1107.0999999999997	863.5499999999998	919.08	493.72999999999985	828.9899999999999	659.9800000000007	731.6400000000011	446.4600000000002
MCUB	17.879999999999995	13.200000000000005	23.059999999999995	20.749999999999993	8.260000000000002	22.37	12.9	15.619999999999996	19.979999999999997	10.44
HOXA11	2.48	0.6099999999999999	0.01	1.02	0.6000000000000001	0.1100000000000001	0.51	0.03	1.8299999999999996	0.24
POLR2J	95.51999999999998	88.03000000000002	72.59000000000002	243.06999999999996	107.09	99.87	117.68000000000004	140.03999999999996	158.55000000000004	96.01
DHX33	13.189999999999998	11.57	20.070000000000007	11.429999999999996	27.860000000000003	18.750000000000004	18.56	24.979999999999997	27.219999999999995	13.79
MEOX1	0.01	0.03	0.01	0.0	0.0	0.04	0.06	0.04	0.02	0.04
THSD7A	3.5900000000000007	0.8599999999999999	0.02	0.3700000000000001	0.05	1.0099999999999998	3.54	0.2199999999999999	0.1799999999999999	0.05
LIG3	11.4	14.97	13.360000000000012	31.239999999999995	17.74	19.649999999999995	32.53999999999999	17.710000000000004	30.6	15.27
RPAP3	25.930000000000003	25.84	24.34999999999999	16.91	23.589999999999996	37.350000000000016	39.6	15.35	25.110000000000003	27.35
ACSM3	0.8900000000000001	0.27	4.040000000000001	5.7700000000000005	0.02	19.859999999999992	0.05	3.9399999999999986	1.17	8.67
