	PANC0203_PANCREAS	NIHOVCAR3_OVARY	RT112_URINARY_TRACT	NCIN87_STOMACH	PC14_LUNG	HCC1143_BREAST	639V_URINARY_TRACT	KMRC3_KIDNEY	ONCODG1_OVARY
TRIM63	0.01	0.02	0.05	0.0	0.01	0.0	0.0	0.0	0.01
CFAP251	1.79	2.0700000000000003	2.899999999999999	0.8300000000000001	1.71	3.380000000000001	2.18	21.850000000000005	0.8999999999999999
MRPL17	63.38000000000001	58.72999999999999	29.449999999999996	32.8	28.700000000000006	88.08	92.17999999999998	59.13	71.07
DUSP2	0.5699999999999998	4.700000000000003	0.3999999999999999	27.549999999999994	1.88	6.42	11.44	0.6600000000000001	1.0499999999999998
GRHL3	0.5800000000000001	3.640000000000001	4.110000000000001	5.090000000000002	0.78	2.8600000000000008	0.01	0.1100000000000001	0.8700000000000001
UBXN11	17.950000000000006	12.48	28.67000000000001	19.280000000000005	37.959999999999994	18.4	15.769999999999996	10.7	9.41
NLRP14	0.09	0.1100000000000001	0.02	0.0	0.0	0.0	0.1	0.02	0.09
PTPDC1	5.879999999999999	7.690000000000003	4.059999999999999	7.199999999999999	1.9099999999999997	8.950000000000001	5.15	5.970000000000001	3.42
GALNT14	15.86	15.210000000000004	6.940000000000001	0.09	1.4500000000000002	13.21999999999999	8.92	293.76000000000016	14.94
NCK1	23.340000000000003	23.760000000000005	34.489999999999995	27.68999999999999	31.07999999999999	34.29000000000001	34.949999999999996	23.0	24.40000000000001
HPD	0.1599999999999999	0.3700000000000001	0.02	0.05	0.1599999999999999	0.06	0.0	0.0	0.5800000000000001
RHPN1	23.929999999999996	15.990000000000007	6.4	33.279999999999994	14.95	45.57000000000001	16.480000000000004	15.210000000000004	9.060000000000002
TPRG1L	6.849999999999999	28.72000000000001	35.60999999999999	22.56999999999998	29.32	26.99	10.740000000000006	12.160000000000002	19.139999999999993
LRRC43	0.04	0.8500000000000001	0.0	0.04	0.27	0.1200000000000001	0.56	0.1100000000000001	0.81
PRXL2C	2.32	2.35	1.5199999999999996	1.8899999999999992	3.49	3.7799999999999985	4.099999999999999	14.620000000000006	1.3800000000000003
XDH	4.6599999999999975	1.66	12.14	0.8900000000000001	3.4700000000000006	5.0600000000000005	0.07	0.07	1.2999999999999998
XKR8	5.260000000000001	4.38	5.29	3.2300000000000013	5.580000000000001	7.009999999999998	5.960000000000002	7.150000000000002	2.99
CNNM4	9.05	8.770000000000001	8.62	16.290000000000003	13.68	26.639999999999993	6.460000000000001	8.759999999999996	10.03
EYA3	5.380000000000001	9.04	10.760000000000003	7.59	6.23	9.609999999999998	9.920000000000002	4.02	6.290000000000001
