gene_name	PANC0203_PANCREAS	NIHOVCAR3_OVARY	RT112_URINARY_TRACT	NCIN87_STOMACH	PC14_LUNG	HCC1143_BREAST	639V_URINARY_TRACT	KMRC3_KIDNEY	ONCODG1_OVARY
RPL15	25.69	23.66	20.13	19.83	17.26	38.1	16.36	22.22	22.26
ERI3	89.29	87.95	85.04	89.12	95.24	94.67	94.12	100.0	90.32
PHB2	52.94		40.0	48.48	36.36	63.33	64.52		52.5
AXIN1	23.77	13.73	27.55	25.19	25.29	18.37	10.45	30.53	13.95
PAFAH1B1	8.66	4.7	5.39	2.96	4.27	7.19	3.56	3.67	6.49
RB1CC1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTTN	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MIB1	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
BOD1L1	88.51	93.02	100.0	91.11	92.86	95.05	100.0	91.14	94.44
FAM76A	100.0		100.0	100.0	100.0	100.0	100.0	100.0	100.0
NDUFAF5	1.69	0.0	0.0	5.1	5.88	4.88	6.11	0.0	5.6
CDK12	43.48	45.45	33.33	32.16	37.5	41.94	37.25	53.85	32.26
SLC35D1	100.0	100.0	100.0	100.0		100.0	100.0	100.0	100.0
WDR59	100.0	100.0	84.21	94.34	100.0	100.0	100.0	100.0	100.0
C9orf9	100.0	100.0	100.0	100.0	100.0			100.0	100.0
WDFY3	100.0	100.0	100.0	97.0	100.0	100.0	100.0	100.0	100.0
DUS4L	13.33	11.43	13.79	8.57	5.06	25.0	4.35	0.0	16.98
IFIH1	100.0	100.0	100.0	100.0		100.0		100.0	100.0
SHPK	0.0	0.0		8.51	4.35	7.69	0.0	0.0	3.03
TRPV1	0.0	0.0		8.51	4.35	7.69	0.0	0.0	3.03
HERC1	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NOP16	5.0	5.0	2.67	7.23	4.03	3.88	6.84	4.7	4.77
TCIRG1	2.33	2.61	0.85	3.43	1.32	1.9	0.0	2.28	1.41
TTLL5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OSBPL3	1.63	0.0	0.0	0.0	0.49	1.3	0.0	0.0	0.0
RNF40	7.69	0.0	2.26	3.18	2.74	6.31	1.16	2.38	1.16
GRIPAP1	94.74	100.0	97.44	94.0	100.0	100.0	94.31	100.0	100.0
PEX6	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
MAPK8	1.48	0.0	2.27	1.14	0.0	0.0	0.79	1.33	2.65
AC024560.3	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
B3GAT3	13.45	10.74	10.53	17.6	5.38	40.0	9.15	9.38	10.44
SGSM2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
POLL	19.83	23.96	17.11	22.5	10.2	17.65	23.53	9.9	18.97
SUMO1	1.61	0.0	0.0	2.38	0.0		2.22	0.0	0.0
ZCCHC6	4.92	6.45	0.0	0.65	0.0	5.26	0.0	4.0	3.45
COBLL1	0.0		0.0	0.0		0.0		0.0	0.0
RIPK1	100.0	100.0	100.0	100.0	100.0	100.0	100.0	96.7	100.0
MORF4L2	6.77	5.1	3.44	0.99	2.86	8.11	3.85	7.27	5.28
HINT1	31.34	34.62	45.71	47.83	44.44	31.43	23.4	37.93	43.59
RHOC	19.47	20.41	29.31	17.26	17.21	27.55	23.82	50.0	21.26
XPA	88.24	100.0	100.0	93.88	100.0	100.0	95.83	100.0	100.0
PHPT1	7.94		7.55	8.03	6.17		6.0	5.0	7.84
RPS15	99.68	99.71	99.69	99.76	99.89	99.57	99.53	99.64	99.39
DDX55	100.0	100.0	100.0	97.54	100.0	100.0	100.0	100.0	100.0
STAMBP	100.0	100.0	100.0	83.33			100.0	100.0	100.0
PKD1	8.11	0.0	8.33	7.53	9.52	10.17	15.91	3.03	15.0
DIMT1	3.36	1.45	6.19	5.84	1.11	2.14	2.1	1.33	1.85
NAA38	0.0	0.0	7.69	0.0	0.0	0.0	9.09		3.33
NSUN4	95.92	100.0	100.0	97.0	96.24	95.35	100.0	100.0	100.0
H6PD	7.14	10.0	4.76	3.57	3.03	5.0	2.63	4.0	6.57
MKI67IP	2.7	2.08	2.93	1.37	1.11	0.73	1.57	1.37	1.69
SCAMP4	2.38	0.0	3.0	0.0	0.0	3.68	0.0	0.0	0.0
ATP11A	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NTHL1	0.0	2.94	1.9	1.43	4.2	0.0	2.8	3.92	1.35
NOL8	0.0	0.0	0.0	5.66	6.12	6.38	4.55	8.0	7.41
FLNB	99.87	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
DHRS13	13.95	2.44	3.92	0.0	1.19	3.03	4.51	0.0	5.05
SDHAP1	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0
CTC-457E21.3	100.0	100.0	100.0	100.0	100.0	100.0	93.33	100.0	100.0
EEA1	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
TCF20	10.81	0.0	14.0	8.33	8.45	9.92	19.61	16.28	8.51
FAM213A	100.0	97.37	100.0	100.0	97.9	100.0	100.0	100.0	100.0
MICAL1	10.64	0.0	14.29	7.41	2.86	5.36	5.83	3.17	4.44
CTC-454I21.3		100.0	100.0	100.0	100.0		100.0	100.0	100.0
TCIRG1	17.83	17.14	14.29	23.32	7.59	18.95	10.53	11.86	12.73
SNX30	0.25	0.34	0.28	0.12	0.21	0.5	1.18	15.71	0.59
SPTAN1	0.25	0.34	0.28	0.12	0.21	0.5	1.18	15.71	0.59
MYH9	0.0	0.0	0.0	0.06	0.0	0.05	0.06	0.0	0.0
TPRKB	0.97	1.3	3.3	2.73	0.0	0.0	2.27	0.0	2.03
ZNF655	100.0	100.0	95.24	91.3	97.03	100.0	100.0	100.0	100.0
DDX19B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RABGGTB	7.46	0.0	7.69	8.67	15.22	0.0	4.26	18.57	0.0
PRKCI	2.29	0.44	1.31	0.0	0.0	1.24	0.78	0.0	0.97
RNF123	20.48	9.76	28.89	19.66	30.38	23.08	31.25	21.21	20.53
FAM208A	7.84	3.85	8.11	5.08	7.5	3.77	9.23	4.0	7.14
C19orf12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CUL4A	2.41	4.71	2.0	3.44	0.82	5.15	1.6	3.67	3.37
MAP3K12	1.3	0.0	0.0	0.59	0.0	0.92	1.2	0.0	0.0
MED13L	1.3	0.0	0.0	0.59	0.0	0.92	1.2	0.0	0.0
C11orf80	89.89	100.0	94.55	89.13	96.59	91.58	96.77	94.29	89.66
STAG2	5.26	11.46	9.52	2.3	3.03	13.08	10.96	4.35	12.04
RP11-96H19.1	1.41	4.04	0.96	2.82	1.41		4.71		1.64
TERF2	92.39	82.76	86.36	76.28	92.5	92.45	88.64	84.31	88.04
RP11-1407O15.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PDPK1	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
RICTOR	0.0	6.67	0.0	0.0	5.88	5.26	3.57	3.57	0.0
PAPD4	50.0	50.0	45.24	46.51	45.45	61.9	67.39	43.08	34.62
