	HCC1395_BREAST	TOV112D_OVARY	HUCCT1_BILIARY_TRACT	RKN_SOFT_TISSUE	LMSU_STOMACH	SNU245_BILIARY_TRACT	TYKNU_OVARY
EFAROXAN	0.306581418757	0.332040031621	0.0734394305974	0.284935144348	-0.155797876751	0.0422058582278	0.203505052169
IMILOXAN	-0.182854856299	-0.145259255274	0.177151166452	0.177903457746		0.48791684494	0.262488207509
GRANISETRON	-0.121132468125	-0.0679108531845	-0.383845001908	-0.679175790544		0.446172097191	0.721327901587
CARVEDILOL	-0.109269728863	-0.0213578207871	-0.224162303898	0.271305954698		-0.234735125403	-0.555055100062
CARBAZOCHROME	0.38775884211	0.431283339442	-0.107177593453	0.00467227680234	-0.223934914428	0.35902605752	0.253457110321
NADIDE	0.0317522916996	-0.26335337455	0.242090964696	-0.551719911115		0.135698604338	-0.0853484959486
DEHYDROCHOLATE-ACID	-0.843120386218	-0.24750261526	-0.358425478139	0.394712804755		-0.182068335878	-0.195587210223
MEPARFYLON	-0.793151133766	0.333876461333	0.262349199557	-0.233560480909	0.199714952864	-0.0714008599813	0.350806391823
BAY-85-8050	-0.49516670284	0.364978829248	0.315020819563	-0.408780350281	-0.00873495952048	0.388370475262	0.310442260869
ENILCONAZOLE	-0.0294839799578	0.327842041172	-0.248585369336	-0.479650278613	-0.119264507355	0.52147947722	-0.0219106444426
AM-92016	-0.33227413	-0.837380785091	0.0420521288679	0.179786311779	-0.196969807905	-0.788252288619	-0.54074565552
PROSCILLARIDIN-A	-1.46742258391	-3.29833141046	-4.59674060094	-2.29566829182	-5.99767823493	-2.78448445825	-3.7487194852
LORAZEPAM	-0.489957949386	-1.25276603555	-1.63869100706	-1.22360468883		-1.55301962627	-0.914923645803
CEFEPIME	-0.960369338589	-0.105810724767	-0.488220776882	0.024446632144		-0.331537348317	-1.04987842353
NUTLIN-3	-0.120329960992	-0.859357755983	0.268169271719	0.251519910728		0.367058082836	-0.445459734716
L-CITRULLINE	-0.625579904803	-0.298535913419	0.104113548435	-0.198675329547		-0.363198119281	0.418991053705
USNIACIN-(+)	-0.883805370953	0.385780051003	-0.0758006193183	-0.209933958084	-0.529313402372	-0.714911884037	0.573248266264
L-HYDROXYPROLINE	-0.493314933508	0.597836895551	-0.145682537294	-0.0558475228437	-0.612770092312	0.7971642682	-0.749503768078
CISAPRIDE	0.0243610336207	-0.389008426951	-0.0695496319118	-0.911233983596		-0.304618262696	-0.187656375359
POMALIDOMIDE	-0.792117674648	-0.0258869431697	-0.398414995954	0.014617600664		-0.425543173074	-0.522243098042
TROGLITAZONE	-0.116157220622	-0.115265374038	-0.690666017051	0.522124219718	-1.0046179437	-0.487334224006	-0.121067948802
FLUOROMETHOLONE	0.422151063851	-1.81052822251	-1.53753177235	0.713870267559	-1.93050321794	0.443518511681	-0.150461427796
DOXAZOSIN	-0.285469545577	-0.017515088913	0.250444731723	-0.16158483505	-0.216126621433	-0.631958826205	0.648724903325
PERILLYL-ALCOHOL	-0.812858435429	0.0756902054008	-0.122234972028	-0.165828111756		-0.430153728253	-0.751325984848
ORNITHINE	0.190943050901	0.736663041289	-0.474475072613	0.340903910276	-0.109077042401	-0.026617403911	0.96124559982
