	NCIH1793_LUNG	MDAMB468_BREAST	SNU601_STOMACH	FTC133_THYROID	SKMEL30_SKIN	SUIT2_PANCREAS	PANC1_PANCREAS	NCIH1975_LUNG	FTC238_THYROID	OC314_OVARY
METAPROTERENOL		-0.109867497551	-0.487129334163	-0.00594510223369	0.672758321342		0.381360873927	-0.012529425432	-0.0675770724743	
KAKONEIN	0.194516657483	-0.10629413937	-0.207080776433	-0.374348121137	-0.176289136393	-0.201072727156	-0.482174195812	0.149857992993	0.155986772105	-0.0573951546186
BICUCULLINE-(+)	0.297675432181	0.616981575231	0.062983135333	0.189526363382	0.0850753425443	0.32709460106	0.312291034512	-0.0248994704343	0.274333134912	0.164702001781
VIGABATRIN		-0.19448190642	0.12994793033	-0.268973937514	0.572930753134		0.165939122464	-0.0903258867102	0.282784965283	
METITEPINE	0.316711210909	0.280885578168	0.163916021877	-0.084149260096	0.193540201058	-0.330930001604	0.284387914874	-0.108255962269	0.133880819106	-0.35563608
BUPARVAQUONE	-0.398105971724	-0.551163937357	0.389471993302	0.250400799902	0.68798113142	-0.948890038418	0.148291600987	-0.118674799241	-0.82409624093	-0.103494841084
GALETERONE	-0.107145988944	0.0522410062483	-0.00440492036417	0.111290009076	0.164561538677		-0.884790819398	-0.128817313241	0.0545618975919	-0.0416843925586
CDBA	-0.524605219885	-0.13410007721	-0.183608455701	-0.399632263437	0.305615746745	-0.0453794783462	-0.605434439469	0.159333680229	-0.0158896131615	-0.162274238107
RACECADOTRIL	0.896484009885	0.0803049899013	-0.429388034522	-0.251461140094	1.08442316872		0.602902936664	-0.861974952741	-0.220023365042	-0.524456531164
FAMPROFAZONE	0.0522162671917	0.367126830415	-0.404231574953	0.229045229158	-0.354659941132	0.428126397965	-0.175510628291		0.50417034143	0.304878982679
ETONOGESTREL	-0.107836295808	-0.100650306117	-0.163718119047	0.325199872117	-0.00295137980752	-0.302270961776	-0.153916833638	-0.298345821613	1.19983178564	0.0397802108445
DOXYCYCLINE		-0.702819117499	-0.991026938664	0.520385036686	0.743200763248		0.355211924557	-0.174538430668	-0.31363800257	
DOXYCYCLINE	-0.512242850728	-0.0545818167788	-0.187232063509	0.266926228555	0.426467863327	-0.0554831233856	0.420139336698	-0.0745584638156	-0.507289652384	0.25668944586
