	HCC1395_BREAST	TOV112D_OVARY	HUCCT1_BILIARY_TRACT	RKN_SOFT_TISSUE	LMSU_STOMACH	SNU245_BILIARY_TRACT	TYKNU_OVARY
PIKFYVE	7.51	13.510000000000002	1.9099999999999997	14.18	6.769999999999999	7.449999999999999	9.98
KCNIP3	2.32	1.66	0.1100000000000001	4.4799999999999995	7.4	0.07	0.03
FAHD2A	34.35999999999999	39.89000000000001	7.65	26.340000000000007	35.910000000000004	14.869999999999996	20.97
NCL	815.4800000000001	994.3999999999996	229.46	534.5499999999998	1077.3999999999994	743.0400000000004	961.3100000000002
ACTR1B	41.36000000000002	35.2	11.490000000000002	30.910000000000004	43.27000000000002	52.330000000000005	22.85
SLC35F5	0.08	12.649999999999997	36.05999999999999	22.160000000000007	38.610000000000014	34.61999999999999	21.39
ZAP70	0.1200000000000001	0.27	0.05	0.08	0.24	0.1	0.06
ACTR3	1.25	192.17	72.21999999999998	243.05000000000004	422.19999999999976	144.31000000000003	285.2
STEAP3	19.110000000000017	12.879999999999995	3.5999999999999996	22.590000000000003	44.42	19.609999999999996	41.7
EPB41L5	3.6099999999999985	8.999999999999998	9.339999999999998	6.04	4.33	19.83	1.8499999999999996
TFCP2L1	4.280000000000001	0.32	0.5899999999999999	0.02	0.01	0.27	0.04
SF3B6	115.95000000000002	258.8399999999999	307.2099999999999	123.93000000000002	191.13	158.62000000000003	407.2999999999999
TP53I3	3.5599999999999996	59.750000000000014	17.920000000000005	20.38000000000001	55.039999999999985	9.75	34.31999999999999
DNAJC27	1.33	2.64	0.69	1.4899999999999998	2.72	2.05	2.0299999999999994
POMC	0.0	0.06	0.0	0.0	0.0	0.0	0.02
STAM2	7.59	10.06	8.05	11.23	9.480000000000002	7.760000000000002	6.87
OTOF	0.1899999999999999	0.2099999999999999	0.0	0.05	0.0	0.0	0.08
GPD2	22.58	13.210000000000004	12.459999999999996	8.859999999999998	22.239999999999995	28.33	22.059999999999995
CENPA	44.49	39.59000000000001	54.07	71.4	50.33999999999999	18.44	42.82999999999999
CYTIP	0.2199999999999999	0.01	0.01	0.03	0.09	0.4299999999999999	0.03
ACVR1	17.950000000000006	10.96	8.439999999999998	20.81	10.61	5.350000000000003	14.74
TANC1	15.36	5.71	4.169999999999999	8.33	12.199999999999983	20.619999999999997	10.130000000000004
SLC30A3	1.12	4.8	0.0	0.72	0.0	0.6099999999999999	0.4499999999999999
MPV17	67.71	81.45000000000003	90.78999999999998	63.25	84.57000000000001	34.839999999999996	100.36
GTF3C2	55.29999999999999	69.29000000000002	47.919999999999995	25.31000000000001	52.190000000000005	63.599999999999994	52.71000000000001
EIF2B4	36.77	71.79000000000005	32.28	32.10000000000001	41.96000000000001	27.43	57.930000000000014
NRBP1	69.31000000000002	104.33000000000004	14.760000000000003	83.28000000000003	92.35000000000004	37.11	60.44000000000001
ITGB6	0.47	0.02	3.54	0.1299999999999999	0.05	4.830000000000002	0.1200000000000001
FNDC4	3.499999999999999	5.29	7.769999999999996	2.6799999999999997	0.2099999999999999	0.07	0.2299999999999999
ITGA4	0.3900000000000001	1.33	0.07	2.46	18.21	0.07	0.05
PSMD14	77.72000000000007	149.47	129.36999999999998	140.6	123.15000000000002	80.40999999999998	182.57999999999996
SNX17	56.040000000000006	63.72	26.16	52.890000000000015	88.31999999999998	40.37	76.20999999999998
ASB3	11.839999999999998	13.02	6.7500000000000036	14.82	6.33	4.040000000000001	9.699999999999998
PPM1G	109.70000000000005	191.82	53.2	114.69	198.02000000000004	130.57999999999998	281.82999999999987
PDE1A	0.09	0.3700000000000001	0.03	0.02	0.08	0.0	0.2199999999999999
REEP6	13.38	13.38	3.3200000000000003	4.289999999999999	0.9300000000000002	81.85	3.4399999999999986
