gene_name	HCC1395_BREAST	TOV112D_OVARY	HUCCT1_BILIARY_TRACT	RKN_SOFT_TISSUE	LMSU_STOMACH	SNU245_BILIARY_TRACT	TYKNU_OVARY
RETSAT	2.52	0.0		0.0	0.0	1.98	0.71
POLQ		100.0		100.0	92.59	65.0	100.0
LRWD1	90.0	95.69		100.0	92.31	94.74	90.67
SDE2	100.0	97.89	100.0	100.0	100.0	100.0	100.0
SPATS2L	5.98		5.0	4.03	1.5	7.26	3.42
DCAF17	69.7	58.18		35.48	44.44	57.14	40.0
SSR2	95.32	96.52	97.47	95.39	96.57	98.28	95.79
PAPD5	0.0	0.0		0.0	0.0	0.0	0.0
MIS18BP1	100.0	95.1	100.0	97.81	95.28	86.02	95.92
PPP1R16A	6.12	9.14	0.0	4.95	4.33	8.99	3.07
E4F1	3.12	1.52		0.0	1.39	0.0	0.0
PRKRIP1	0.0	0.0		0.0	0.0	0.0	0.0
PPP2R1B	100.0	100.0		100.0	100.0	100.0	96.58
ARV1	3.53	4.31	2.14	5.26	5.26	3.14	6.9
ATP6V0E2-AS1	100.0	100.0	100.0	100.0		100.0	100.0
CENPO	2.17	3.51		1.96	2.94	9.8	3.01
CASC5	0.0	0.0		0.0	0.0	0.0	2.22
RALGDS	13.33	5.41		0.0	0.0	11.11	10.0
C18orf21	20.0	13.04	0.0	11.11	14.81	12.5	9.62
TM7SF3	0.76	1.83	0.0	1.14	0.0	2.92	0.0
E2F3	9.62	12.5		6.12	10.11	16.67	11.27
USP54	75.0	82.14		92.11	92.31	93.83	95.83
TLCD1	0.0	3.28	2.04	0.0	3.45	2.46	2.0
CDC26	0.0	1.39	8.7	4.09	6.03	0.0	12.57
SEPN1	0.38	0.55		0.0	0.0	0.0	0.0
BRCA1	100.0	100.0		100.0	100.0	100.0	100.0
EPHA2	0.0	0.0		0.31	0.0	3.66	0.57
TTC28-AS1	21.74	31.48	5.48	26.92	28.0	44.9	20.51
BCOR	100.0	100.0		100.0	100.0	100.0	
DOCK6	100.0	100.0		100.0	100.0	100.0	100.0
USP36	96.77	97.73		100.0	100.0	100.0	97.44
TRIP13	17.39	15.85	33.03	13.7	6.0	17.14	15.62
CDK7	88.52	92.09	100.0	100.0	100.0	92.97	92.38
RPS3	100.0	100.0	100.0	100.0	100.0	100.0	100.0
PLEKHG2	0.0	8.33		10.34	0.0	12.0	6.67
RABL5	58.82	53.33	71.43	68.75	70.83		67.65
RBM19	100.0	98.18		100.0	100.0	100.0	97.22
PPP3CC	0.0	0.0	0.0	0.0	0.0		0.0
RNF139	6.27	1.42	0.0	0.0	1.0	1.27	0.93
C17orf61-PLSCR3	100.0	100.0	100.0	100.0	100.0		100.0
PLSCR3	100.0	100.0	100.0	100.0	100.0		100.0
TMEM129	100.0	100.0		75.0	100.0	71.11	76.92
POLR3B	100.0	100.0		100.0	100.0	100.0	100.0
AFG3L1P	8.0	0.0		0.0	0.0	6.78	24.56
ARRDC3	86.18			87.5	87.1	83.33	83.02
SMARCA4	100.0	100.0		100.0	100.0	100.0	100.0
HERC1	0.0	0.0		0.0	0.0	0.0	0.0
NISCH	0.0	0.0		0.0	0.0	0.0	0.0
SNAPC4	0.0	2.22		0.0	0.0	0.0	0.0
CHD9	0.0	0.0		0.0	0.0	0.0	0.0
LRRC1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MICAL3	4.35	8.57		1.75	3.03	6.25	0.0
ASAH2B	50.0	75.0		20.83	55.56	40.0	
UROD	19.3	15.35		24.81	13.51	8.51	19.08
SNF8	0.26	0.22	0.0	1.26	0.78	0.62	0.52
NDOR1	13.04	7.14		5.88	6.67	2.22	5.88
FARP1	0.0	0.0		3.88	0.0	0.0	0.0
DVL1	0.0	0.95	0.0	0.0	0.0	2.94	0.0
KIF13A	89.33	100.0		100.0	100.0	96.43	87.5
SLC41A1	90.2	88.89		93.33	90.65	90.0	86.67
SMAD5	0.0	0.0		0.0	0.0	0.0	0.0
EP300	100.0	100.0		100.0	100.0	100.0	100.0
SEC16A	20.0	14.61		7.69	7.69	28.57	14.58
USP37	100.0	91.18		100.0	88.89	88.0	92.31
RWDD4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PAPD7	2.35	1.9		1.85	1.04	2.45	0.65
ATF7IP	10.59	9.09		2.38	0.0	0.0	8.62
CAMSAP2	100.0	100.0		100.0	100.0	100.0	100.0
STAT2	80.56	100.0		97.01	93.88	100.0	95.65
ZC3HC1	96.1	92.59		89.66	93.94	100.0	93.83
DHRS13		100.0		100.0	100.0	100.0	100.0
PBRM1	21.43	6.06		6.12	3.12	4.88	5.71
RPL26L1	0.51	0.39	2.57	2.09	1.86	1.88	3.29
ERBB2	27.78	18.52		57.14	14.81	3.05	0.0
ALKBH5	99.47	99.29		99.01	99.4	99.21	98.8
INCENP	27.36	12.56		41.79	38.54	54.94	22.62
USP40	4.65	2.6		0.0	3.39	1.54	1.85
FAM200B	1.92	1.74	5.04	0.91	1.06	0.0	4.44
MGA	0.0	0.0		0.0	0.0	0.0	0.0
ZFYVE27	42.71	35.82		35.8	19.35	28.75	27.27
CCDC130	5.08	0.0		2.5	0.0	0.0	0.0
PFKFB2	2.08	2.99				3.03	
SKP2	58.46	84.44	1.57	84.0	89.58	88.89	65.97
NMD3	0.0	0.0	0.0	0.98	0.0	0.0	0.32
TBRG4	0.78	0.0	0.0	0.0	0.45	1.89	0.66
SNX19	100.0	100.0		71.95	100.0	100.0	100.0
DENND4A	3.23	0.0		0.0	0.0	0.0	4.55
MANEAL	33.33	31.03		31.11	38.89	50.79	51.72
ZNF800	19.57	29.63	42.86	42.86	32.14	18.99	51.02
CDCA2	91.67	100.0		100.0	100.0	100.0	100.0
LZTS3	100.0	100.0		100.0	100.0	100.0	100.0
ZNF248	66.67	68.75		100.0		100.0	100.0
CCZ1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SEC14L1				24.91	4.86	4.76	
ABI1	5.0	1.67	0.0	1.4	2.65	4.64	1.2
PLK3	6.67			6.76	16.22	5.56	7.79
ZNF235	25.0	30.91		9.09	10.0	20.0	22.73
SRSF5		61.54		72.41	55.56	100.0	40.0
DDX42	94.0	91.29		93.51	93.36	92.78	90.26
CDYL	100.0	100.0	100.0	100.0	100.0	100.0	100.0
SF1	5.34	5.72	7.69	2.72	6.57	8.71	2.67
HIP1R	0.0	0.0		0.0	0.0	0.0	0.0
PRICKLE3	10.71	5.0		11.54	6.67	15.15	4.62
KIF18A	0.0	0.0		2.87	0.0	0.0	0.0
SCMH1	13.73	3.28		3.28	5.95	4.0	2.8
